id;address;address_no;zip_code;prosf_letter;name_letter;letter_close;first_label;second_label;third_label;fourth_label;fifth_label;favourite
1;Greece 6th;Liechtenstein optical;56348;Architect;Legacy Circles Handcrafted;Fantastic Engineer;Architect methodologies;Alley Rubber;networks JBOD;Web;SAS Global;true
2;infomediaries Direct;Metal Ergonomic Australia;12795-8812;open-source;withdrawal Team-oriented;Product Operations Frozen;Up-sized;orchid;invoice Re-engineered;Arkansas invoice;Chips plug-and-play;true
3;deposit Executive;demand-driven bi-directional;19590;Berkshire;payment;Avon Awesome;Granite Account Technician;channels Pizza matrix;violet Unbranded;Jamahiriya Generic;viral;true
4;Sterling Fantastic;auxiliary Granite;22292-9561;RSS;navigate Facilitator Frozen;Tasty virtual;Togo;world-class infrastructure Right-sized;Spring;Baby CSS Right-sized;Cambridgeshire;true
5;holistic index Home;wireless;70209;Outdoors invoice Berkshire;Sweden Fords;Baht Taiwan indigo;Money collaborative;Avon lavender;forecast Consultant Awesome;Sports District responsive;B2B;true
6;Assistant pink Planner;real-time;85659-6197;Wooden;evolve;cross-platform Cambridgeshire;black generating Division;facilitate sticky Customer;Shoals Lesotho Ergonomic;Berkshire Mobility primary;Hungary;true
7;generating Netherlands Awesome;Frozen;69972-2174;invoice;Peso Account withdrawal;Configuration Wooden repurpose;CSS Granite;override invoice;Switzerland improvement;Balboa Handcrafted;Saudi Knoll;true
8;Arkansas whiteboard bypassing;Dynamic synthesizing Bacon;76635-6033;Marketing;Executive Union;copying Kwanza;Account Baby;architect blockchains;invoice;connect auxiliary interface;synthesizing;true
9;synergize;feed Practical pixel;38637-5030;cultivate JSON technologies;Salad;JSON Small;multi-tasking;wireless optimal;capacitor Awesome system;Estonia Branding Pre-emptive;CSS Avon;true
10;Leone convergence Forward;multimedia Hat;17673;focus;Tactics;Metal multi-state;Accountability Engineer Incredible;copy Loan;Car Global;Cambridgeshire visualize Kids;eco-centric Branding;false
