id;name;president;presidents_phone;secretary;secretarys_phone;police;polices_phone;doctor;doctors_phone;teacher;teachers_phone;priest;priests_phone;country_id;region_id
1;architectures web-readiness;Tools Computer;1080p Generic;uniform;Singapore;Pizza;Generic indexing;Ball real-time Down-sized;Shirt;invoice;value-added;Berkshire Kwacha Berkshire;Liberia;1;1
2;tan;deposit;metrics;Personal;Applications;Assistant Georgia driver;mint core;homogeneous policy Rest;Corporate human-resource back;Krona;deposit;Handcrafted Bedfordshire Track;interface Grocery;2;2
3;hack Multi-channelled;eco-centric Loan Avon;feed;synthesize monitoring;Future optimizing;synthesize;Stravenue Sleek;hacking auxiliary parse;Inlet;capacitor;orchid;SMTP wireless;Shirt;3;3
4;Avon local;Lane website;Bike;Gabon Leu Chicken;Industrial yellow invoice;Shoes;Harbors;Extensions Metal seamless;Guarani;Honduras Seychelles Keyboard;blue Unbranded Chair;Canyon;firewall;4;4
5;Research Handcrafted;national Outdoors projection;Buckinghamshire Dynamic;array;extensible Louisiana Marketing;optimize Rapid Automotive;International;Enhanced;systematic;aggregate Lari Plastic;Fresh Berkshire;Gorgeous;District;5;5
6;Health parse;Colon deposit;Carolina hour;compressing Tasty Handcrafted;structure Kwanza systemic;Money Checking;Texas;Checking Bacon azure;Cambridgeshire;Customer;Coordinator Personal;hacking initiatives orange;protocol Dollar;6;6
7;generate;Metal;mint;Handcrafted Developer;Operations International;extend architect;archive;Hong Berkshire drive;SMS Practical Regional;Metrics panel;auxiliary;Vietnam Market;maximize;7;7
8;Movies Functionality;Buckinghamshire ability;International violet global;Fantastic throughput e-services;Internal;Producer back-end;system teal;Metal Account;Account AI;HTTP;synthesize;feed Intelligent;Fresh;8;8
9;Mandatory;compressing invoice South;streamline;1080p bleeding-edge;bandwidth;Berkshire;Cotton Liaison;Technician Canyon;parsing;full-range;Metrics bypassing;Manager Small;Investor syndicate;9;9
10;Lek Arizona;invoice Guyana Fields;Cotton Liaison;Metal Forward;hard Rustic;Unbranded programming hack;Senior Isle;web-readiness;compressing firewall website;user-facing hierarchy Borders;policy;partnerships Table;3rd Handmade;10;10
